ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż
ż,ź,ź,ź,ź,ź,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,ź,,,,ź,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,ź,,,,ź,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,ź,ź,┼,ź,ź,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,ł,ł,ł,ł,,,,ł,ł,ł,ł,ł,ł,ł,,,,,,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,ł,ł,ł,ł,,,,ł,ł,ł,ł,ł,ł,ł,,,,,,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,,,,,,,,,ź,ź,ź,ź,ź,ź,ź,ź,,,,,,,,ł,ł,ł,ł,,,,,,,,,,ń,ń,ń,ń,ń,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,ł,ł,ł,ł,,,,,ź,,,ź,,,,ź,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,ł,ł,ł,ł,,,,,ź,,,ź,,,,ź,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,ł,ł,,,,,ł,ł,ł,ł,,,,,┼,,,ź,ź,┼,ź,ź,,,,,,,,,,,,,,,ń,,ń,ń,ń,ń,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,,,,,,ł,ł,ł,ł,ł,ł,,,,,ł,ł,ł,ł,,,,,ź,,,,,,,ź,,,,,ł,ł,ł,ł,,,,,,ń,ń,┼,ń,ń,,,,,,,ł,ł,ł,ł,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,,,ń,ń,ń,ń,,,,,,,,,,,,,,,ź,ź,ź,ź,ź,ź,ź,ź,,,,,ł,ł,ł,ł,,,,,ń,ń,ń,,ń,,,,,,,,ł,ł,ł,ł,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,ż
ż,,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,,,,ń,ń,ń,ń,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,ń,ń,ń,ń,ń,ż
ż,,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,,,ń,ń,ń,ń,,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,ń,ń,ż
ż,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ż
ż,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,,,,,,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,ź,ź,ź,ź,ź,ź,ź,,ż
ż,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,ń,ń,ń,ń,,,,,,,,,,,,ł,ł,ł,ł,,,,,,,,ń,ń,ń,ń,ń,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,ź,ń,ń,ź,ń,ń,ź,,ż
ż,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,ń,ń,ń,┼,ń,,,,,,,,,,ł,ł,ł,ł,,,,,,,ń,ń,ń,ń,ń,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,ź,ń,ń,ź,ń,ń,ź,,ż
ż,,,,,,,,,,,,,,,,ń,ń,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,ń,,ń,ń,ń,,,,,,,,ł,ł,ł,ł,,,,,,ń,ń,ń,ń,ń,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,,,,,,,ź,ź,ź,ź,ź,ź,ź,,ż
ż,ł,ł,ł,ł,,,,,,,,,,,,,┼,,,,,,,,,,,,,,,,,,,,,,,ń,ń,ń,ń,,,,,,,ł,ł,ł,ł,,,,,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,,,,,ł,ł,ł,ł,,,,,,,ź,ń,ń,ź,ń,ń,ź,,ż
ż,ł,ł,ł,ł,,,,,,,,,,ń,ń,ń,ń,ń,ń,,,,,,,,,,,ł,ł,ł,ł,,,,,,,ń,ń,ń,ń,ń,,,,,,,,,,,,,,ń,ń,ń,ń,ń,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,,,,ź,ń,ń,ź,ń,ń,ź,,ż
ż,ł,ł,ł,ł,,,,,,,,,ń,ń,ń,ń,ń,,,,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,ń,ń,ń,ń,ń,,,,,,,,,,,ń,ń,ń,ń,ń,,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,,,,ź,ź,ź,ź,ź,ź,ź,,ż
ż,ł,ł,ł,ł,,,,,,,ń,ń,ń,ń,ń,,,,,,,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,,ń,ń,ń,ń,ń,,,,,,,ń,ń,ń,ń,ń,,,,,,,,,ł,ł,ł,ł,,,,,,,,,,ł,ł,ł,ł,,,,,,,ź,ń,ń,ź,ń,ń,ź,,ż
